,heuristic,solution_len,acc,beam_width
524,mult_heuristic,301,False,1
525,sum_heuristic,289,False,1
526,sum_heuristic,5116,True,5
527,sum_heuristic,1860,True,5
528,mult_heuristic,6087,False,4
529,sum_heuristic,3181,False,3
530,sum_heuristic,244,True,1
531,sum_heuristic,5976,False,4
532,sum_heuristic,3530,False,3
533,mult_heuristic,1278,False,2
534,sum_heuristic,484,True,2
535,mult_heuristic,2114,True,3
536,sum_heuristic,1260,False,2
537,mult_heuristic,826,True,3
538,mult_heuristic,1237,False,2
539,sum_heuristic,4656,True,5
540,mult_heuristic,1781,True,5
541,sum_heuristic,297,False,1
542,mult_heuristic,504,True,2
543,mult_heuristic,3315,False,3
544,sum_heuristic,469,True,2
545,sum_heuristic,3308,False,3
546,sum_heuristic,1863,True,5
547,mult_heuristic,4591,True,4
548,sum_heuristic,1737,True,5
549,mult_heuristic,3126,True,5
550,mult_heuristic,473,True,2
551,mult_heuristic,1325,True,4
552,mult_heuristic,1838,True,5
553,sum_heuristic,294,False,1
554,mult_heuristic,3519,False,3
555,mult_heuristic,1825,True,5
556,sum_heuristic,1304,False,2
557,mult_heuristic,3451,False,3
558,mult_heuristic,6291,False,4
559,sum_heuristic,1273,False,2
560,mult_heuristic,6321,False,4
561,mult_heuristic,2334,True,5
562,sum_heuristic,237,True,1
563,mult_heuristic,946,True,3
564,mult_heuristic,293,False,1
565,mult_heuristic,9524,False,5
566,sum_heuristic,301,False,1
567,mult_heuristic,813,True,3
568,mult_heuristic,6302,False,4
569,sum_heuristic,9482,False,5
570,sum_heuristic,807,True,3
571,mult_heuristic,289,False,1
572,mult_heuristic,236,True,1
573,mult_heuristic,1366,False,2
574,sum_heuristic,3640,False,3
575,mult_heuristic,2179,True,5
576,sum_heuristic,313,False,1
577,sum_heuristic,9503,False,5
578,sum_heuristic,800,True,3
579,mult_heuristic,298,False,1
580,sum_heuristic,294,False,1
581,sum_heuristic,226,True,1
582,sum_heuristic,933,True,3
583,mult_heuristic,1731,True,3
584,mult_heuristic,1891,True,5
585,mult_heuristic,306,False,1
586,mult_heuristic,6370,False,4
587,sum_heuristic,6291,False,4
588,sum_heuristic,279,False,1
589,mult_heuristic,3413,False,3
590,sum_heuristic,842,True,3
591,sum_heuristic,899,True,3
592,mult_heuristic,1271,True,4
593,sum_heuristic,3536,False,3
594,mult_heuristic,1221,False,2
595,sum_heuristic,1419,True,4
596,mult_heuristic,295,False,1
597,sum_heuristic,6463,False,4
598,mult_heuristic,3380,True,5
599,sum_heuristic,1798,True,5
600,mult_heuristic,1734,True,5
601,sum_heuristic,451,True,2
602,sum_heuristic,3584,True,5
603,sum_heuristic,283,False,1
604,mult_heuristic,1670,True,4
605,sum_heuristic,463,True,2
606,sum_heuristic,909,True,2
607,mult_heuristic,826,True,3
608,sum_heuristic,507,True,2
609,sum_heuristic,233,True,1
610,sum_heuristic,293,False,1
